ANO	SEM_NOT	Início	Término
2020	202043	2020-10-18	2020-10-24
2020	202044	2020-10-25	2020-10-31
2020	202045	2020-11-01	2020-11-07
2020	202046	2020-11-08	2020-11-14
2020	202047	2020-11-15	2020-11-21
2020	202048	2020-11-22	2020-11-28
2020	202049	2020-11-29	2020-12-05
2020	202050	2020-12-06	2020-12-12
2020	202051	2020-12-13	2020-12-19
2020	202052	2020-12-20	2020-12-26
2020	202053	2020-12-27	2021-01-02
2021	20211	2021-01-03	2021-01-09
2021	20212	2021-01-10	2021-01-16
2021	20213	2021-01-17	2021-01-23
2021	20214	2021-01-24	2021-01-30
2021	20215	2021-01-31	2021-02-06
2021	20216	2021-02-07	2021-02-13
2021	20217	2021-02-14	2021-02-20
2021	20218	2021-02-21	2021-02-27
2021	20219	2021-02-28	2021-03-06
2021	202110	2021-03-07	2021-03-13
2021	202111	2021-03-14	2021-03-20
2021	202112	2021-03-21	2021-03-27
2021	202113	2021-03-28	2021-04-03
2021	202114	2021-04-04	2021-04-10
2021	202115	2021-04-11	2021-04-17
2021	202116	2021-04-18	2021-04-24
2021	202117	2021-04-25	2021-05-01
2021	202118	2021-05-02	2021-05-08
2021	202119	2021-05-09	2021-05-15
2021	202120	2021-05-16	2021-05-22
2021	202121	2021-05-23	2021-05-29
2021	202122	2021-05-30	2021-06-05
2021	202123	2021-06-06	2021-06-12
2021	202124	2021-06-13	2021-06-19
2021	202125	2021-06-20	2021-06-26
2021	202126	2021-06-27	2021-07-03
2021	202127	2021-07-04	2021-07-10
2021	202128	2021-07-11	2021-07-17
2021	202129	2021-07-18	2021-07-24
2021	202130	2021-07-25	2021-07-31
2021	202131	2021-08-01	2021-08-07
2021	202132	2021-08-08	2021-08-14
2021	202133	2021-08-15	2021-08-21
2021	202134	2021-08-22	2021-08-28
2021	202135	2021-08-29	2021-09-04
2021	202136	2021-09-05	2021-09-11
2021	202137	2021-09-12	2021-09-18
2021	202138	2021-09-19	2021-09-25
2021	202139	2021-09-26	2021-10-02
2021	202140	2021-10-03	2021-10-09
2021	202141	2021-10-10	2021-10-16
2021	202142	2021-10-17	2021-10-23
2021	202143	2021-10-24	2021-10-30
2021	202144	2021-10-31	2021-11-06
2021	202145	2021-11-07	2021-11-13
2021	202146	2021-11-14	2021-11-20
2021	202147	2021-11-21	2021-11-27
2021	202148	2021-11-28	2021-12-04
2021	202149	2021-12-05	2021-12-11
2021	202150	2021-12-12	2021-12-18
2021	202151	2021-12-19	2021-12-25
2021	202152	2021-12-26	2022-01-01
2022	20221	2022-01-02	2022-01-08
2022	20222	2022-01-09	2022-01-15
2022	20223	2022-01-16	2022-01-22
2022	20224	2022-01-23	2022-01-29
2022	20225	2022-01-30	2022-02-05
2022	20226	2022-02-06	2022-02-12
2022	20227	2022-02-13	2022-02-19
2022	20228	2022-02-20	2022-02-26
2022	20229	2022-02-27	2022-03-05
2022	202210	2022-03-06	2022-03-12
2022	202211	2022-03-13	2022-03-19
2022	202212	2022-03-20	2022-03-26
2022	202213	2022-03-27	2022-04-02
2022	202214	2022-04-03	2022-04-09
2022	202215	2022-04-10	2022-04-16
2022	202216	2022-04-17	2022-04-23
2022	202217	2022-04-24	2022-04-30
2022	202218	2022-05-01	2022-05-07
2022	202219	2022-05-08	2022-05-14
2022	202220	2022-05-15	2022-05-21
2022	202221	2022-05-22	2022-05-28
2022	202222	2022-05-29	2022-06-04
2022	202223	2022-06-05	2022-06-11
2022	202224	2022-06-12	2022-06-18
2022	202225	2022-06-19	2022-06-25
2022	202226	2022-06-26	2022-07-02
2022	202227	2022-07-03	2022-07-09
2022	202228	2022-07-10	2022-07-16
2022	202229	2022-07-17	2022-07-23
2022	202230	2022-07-24	2022-07-30
2022	202231	2022-07-31	2022-08-06
2022	202232	2022-08-07	2022-08-13
2022	202233	2022-08-14	2022-08-20
2022	202234	2022-08-21	2022-08-27
2022	202235	2022-08-28	2022-09-03
2022	202236	2022-09-04	2022-09-10
2022	202237	2022-09-11	2022-09-17
2022	202238	2022-09-18	2022-09-24
2022	202239	2022-09-25	2022-10-01
2022	202240	2022-10-02	2022-10-08
2022	202241	2022-10-09	2022-10-15
2022	202242	2022-10-16	2022-10-22
2022	202243	2022-10-23	2022-10-29
2022	202244	2022-10-30	2022-11-05
2022	202245	2022-11-06	2022-11-12
2022	202246	2022-11-13	2022-11-19
2022	202247	2022-11-20	2022-11-26
2022	202248	2022-11-27	2022-12-03
2022	202249	2022-12-04	2022-12-10
2022	202250	2022-12-11	2022-12-17
2022	202251	2022-12-18	2022-12-24
2022	202252	2022-12-25	2022-12-31
2023	20231	2023-01-01	2023-01-07
2023	20232	2023-01-08	2023-01-14
2023	20233	2023-01-15	2023-01-21
2023	20234	2023-01-22	2023-01-28
2023	20235	2023-01-29	2023-02-04
2023	20236	2023-02-05	2023-02-11
2023	20237	2023-02-12	2023-02-18
2023	20238	2023-02-19	2023-02-25
2023	20239	2023-02-26	2023-03-04
2023	202310	2023-03-05	2023-03-11
2023	202311	2023-03-12	2023-03-18
2023	202312	2023-03-19	2023-03-25
2023	202313	2023-03-26	2023-04-01
2023	202314	2023-04-02	2023-04-08
2023	202315	2023-04-09	2023-04-15
2023	202316	2023-04-16	2023-04-22
2023	202317	2023-04-23	2023-04-29
2023	202318	2023-04-30	2023-05-06
2023	202319	2023-05-07	2023-05-13
2023	202320	2023-05-14	2023-05-20
2023	202321	2023-05-21	2023-05-27
2023	202322	2023-05-28	2023-06-03
2023	202323	2023-06-04	2023-06-10
2023	202324	2023-06-11	2023-06-17
2023	202325	2023-06-18	2023-06-24
2023	202326	2023-06-25	2023-07-01
2023	202327	2023-07-02	2023-07-08
2023	202328	2023-07-09	2023-07-15
2023	202329	2023-07-16	2023-07-22
2023	202330	2023-07-23	2023-07-29
2023	202331	2023-07-30	2023-08-05
2023	202332	2023-08-06	2023-08-12
2023	202333	2023-08-13	2023-08-19
2023	202334	2023-08-20	2023-08-26
2023	202335	2023-08-27	2023-09-02
2023	202336	2023-09-03	2023-09-09
2023	202337	2023-09-10	2023-09-16
2023	202338	2023-09-17	2023-09-23
2023	202339	2023-09-24	2023-09-30
2023	202340	2023-10-01	2023-10-07
2023	202341	2023-10-08	2023-10-14
2023	202342	2023-10-15	2023-10-21
2023	202343	2023-10-22	2023-10-28
2023	202344	2023-10-29	2023-11-04
2023	202345	2023-11-05	2023-11-11
2023	202346	2023-11-12	2023-11-18
2023	202347	2023-11-19	2023-11-25
2023	202348	2023-11-26	2023-12-02
2023	202349	2023-12-03	2023-12-09
2023	202350	2023-12-10	2023-12-16
2023	202351	2023-12-17	2023-12-23
2023	202352	2023-12-24	2023-12-30
2024	20241	2023-12-31	2024-01-06
2024	20242	2024-01-07	2024-01-13
2024	20243	2024-01-14	2024-01-20
2024	20244	2024-01-21	2024-01-27
2024	20245	2024-01-28	2024-02-03
2024	20246	2024-02-04	2024-02-10
2024	20247	2024-02-11	2024-02-17
2024	20248	2024-02-18	2024-02-24
2024	20249	2024-02-25	2024-03-02
2024	202410	2024-03-03	2024-03-09
2024	202411	2024-03-10	2024-03-16
2024	202412	2024-03-17	2024-03-23
2024	202413	2024-03-24	2024-03-30
2024	202414	2024-03-31	2024-04-06
2024	202415	2024-04-07	2024-04-13
2024	202416	2024-04-14	2024-04-20
2024	202417	2024-04-21	2024-04-27
2024	202418	2024-04-28	2024-05-04
2024	202419	2024-05-05	2024-05-11
2024	202420	2024-05-12	2024-05-18
2024	202421	2024-05-19	2024-05-25
2024	202422	2024-05-26	2024-06-01
2024	202423	2024-06-02	2024-06-08
2024	202424	2024-06-09	2024-06-15
2024	202425	2024-06-16	2024-06-22
2024	202426	2024-06-23	2024-06-29
2024	202427	2024-06-30	2024-07-06
2024	202428	2024-07-07	2024-07-13
2024	202429	2024-07-14	2024-07-20
2024	202430	2024-07-21	2024-07-27
2024	202431	2024-07-28	2024-08-03
2024	202432	2024-08-04	2024-08-10
2024	202433	2024-08-11	2024-08-17
2024	202434	2024-08-18	2024-08-24
